Datetime,Latitude,Longitude,Elevation,Pressure,Speed,Bearing
2025-03-09 02:00:00,73.36868855645945,-34.7968599338362,15.8,100,125.0,282
2025-03-09 02:00:00,73.36868855645945,-34.7968599338362,17.7,70,142.9,283
2025-03-09 02:00:00,73.36868855645945,-34.7968599338362,19.3,50,134.7,289
2025-03-09 02:00:00,73.36868855645945,-34.7968599338362,22.0,30,105.8,295
2025-03-09 03:00:00,73.21124351686339,-35.12434889157136,0.11,1000,22.0,215
2025-03-09 03:00:00,73.21124351686339,-35.12434889157136,0.32,975,22.1,215
2025-03-09 03:00:00,73.21124351686339,-35.12434889157136,0.5,950,22.2,215
2025-03-09 03:00:00,73.21124351686339,-35.12434889157136,0.8,925,22.0,215
2025-03-09 03:00:00,73.21124351686339,-35.12434889157136,1.0,900,21.9,215
2025-03-09 03:00:00,73.21124351686339,-35.12434889157136,1.5,850,22.2,215
2025-03-09 03:00:00,73.21124351686339,-35.12434889157136,1.9,800,21.9,215
2025-03-09 03:00:00,73.21124351686339,-35.12434889157136,3.0,700,21.9,215
2025-03-09 03:00:00,73.21124351686339,-35.12434889157136,4.2,600,51.0,258
2025-03-09 03:00:00,73.21124351686339,-35.12434889157136,5.6,500,104.8,275
2025-03-09 03:00:00,73.21124351686339,-35.12434889157136,7.2,400,165.0,281
2025-03-09 03:00:00,73.21124351686339,-35.12434889157136,9.2,300,237.8,284
2025-03-09 03:00:00,73.21124351686339,-35.12434889157136,10.4,250,243.3,287
2025-03-09 03:00:00,73.21124351686339,-35.12434889157136,11.8,200,183.8,286
2025-03-09 03:00:00,73.21124351686339,-35.12434889157136,13.5,150,124.3,280
2025-03-09 03:00:00,73.21124351686339,-35.12434889157136,15.8,100,123.6,281
2025-03-09 03:00:00,73.21124351686339,-35.12434889157136,17.7,70,142.3,284
2025-03-09 03:00:00,73.21124351686339,-35.12434889157136,19.3,50,134.7,288
2025-03-09 03:00:00,73.21124351686339,-35.12434889157136,22.0,30,105.9,293
2025-03-09 03:00:00,73.21264898375522,-35.12045389471404,0.11,1000,22.0,215
